Slope,rep,Topo,Aspect,current.year,start.year,sowing.year,cage,lifted,caged,severity,bank,germination,earlydeath,reproductive,percent,previous,totalseedpods,avgseedpods,proportionseeded,sdays,daysseeding,finalseedbank,nativebiomass,nonnativebiomass,nativecover,nonnativecover,avg_nonnative_height,avg_native_height,ercacover,ph,som,ec,nitrogen,carbon,bulkdensity,march.soil.percent.water.content,jan.avg.vwc,decrain,janrain,febrain,marchrain,aprilrain,mayrain,totalrain,decsolar,avgdecsolar,jansolar,avgjansolar,febsolar,avgfebsolar,marchsolar,avgmarchsolar,aprilsolar,avgaprilsolar,maysolar,avgmaysolar,totalsolar
steep,3,South Steep,south,6,1,2014,none,no,No Cage,,34,0,0,0,0.00%,no,,,,,,34,,,6,0,0,3.833333333,0,6.02,1.589,34.5,0.01708491,0.29584435,1.21,0.79,2.6,53.048,4.569,0.762,33.5603,7.108,17.01,116.0573,2856,92.12903226,3924,126.5806452,4877,168.1724138,5582,180.0645161,7800,260,9669,315.8,34708
steep,4,South Steep,south,6,2,2015,none,no,No Cage,,28,20,20,0,71.43%,no,,,0,,,8,,,5,25,9.4,3,0,6.8,2.345,34.85,0.016962155,1.06648055,,,4.9,53.048,4.569,0.762,33.5603,7.108,17.01,116.0573,2856,92.12903226,3924,126.5806452,4877,168.1724138,5582,180.0645161,7800,260,9669,315.8,34708
ridge,2,No.aspect Ridge,no.aspect,6,1,2014,none,no,No Cage,,36,0,0,0,0.00%,no,,,,,,36,,,5,70,15,7,0,6.29,3.87,38.45,0,0.9661617,1.15,0.75,3.8,53.048,4.569,0.762,33.5603,7.108,17.01,116.0573,2856,92.12903226,3924,126.5806452,4877,168.1724138,5582,180.0645161,7800,260,9669,315.8,34708
steep,4,South Steep,south,6,6,2019,small,no,Caged,,50,0,0,0,0.00%,no,,,,,,50,23,1,4,0,0,6,0,,,,,,,,,53.048,4.569,0.762,33.5603,7.108,17.01,116.0573,2856,92.1290323,3924,126.580645,4877,168.172414,5582,180.064516,7800,260,9669,315.8,34708
steep,5,South Steep,south,6,6,2019,small,yes,Caged,,50,0,0,0,0.00%,no,,,,,,50,,,4,1,5,15.25,1,,,,,,,,,53.048,4.569,0.762,33.5603,7.108,17.01,116.0573,2856,92.12903226,3924,126.5806452,4877,168.1724138,5582,180.0645161,7800,260,9669,315.8,34708
steep,3,North Steep,north,6,2,2015,none,no,No Cage,,39,0,0,0,0.00%,no,,,,,,39,,,3,1,20,14.33333333,0,5.565,3.605,32.65,0,0.52013245,1.11,0.75,1.2,53.048,4.569,0.762,33.5603,7.108,17.01,116.0573,2856,92.12903226,3924,126.5806452,4877,168.1724138,5582,180.0645161,7800,260,9669,315.8,34708
steep,1,North Steep,north,6,6,2019,small,yes,Caged,,50,0,0,0,0.00%,no,,,,,,50,,,2,3,1,3,0,,,,,,,,,53.048,4.569,0.762,33.5603,7.108,17.01,116.0573,2856,92.12903226,3924,126.5806452,4877,168.1724138,5582,180.0645161,7800,260,9669,315.8,34708
gentle,4,South Gentle,south,6,2,2015,none,no,No Cage,,31,0,0,0,0.00%,no,,,,,,31,,,,,,,,5.94,1.905,39.65,0.080843045,1.1533976,,,0,53.048,4.569,0.762,33.5603,7.108,17.01,116.0573,2856,92.12903226,3924,126.5806452,4877,168.1724138,5582,180.0645161,7800,260,9669,315.8,34708
gentle,4,South Gentle,south,6,2,2015,small,no,Caged,,29,0,0,0,0.00%,no,,,,,,29,,,,,,,,5.465,2.375,33.75,0.0195615,0.5656115,,,0,53.048,4.569,0.762,33.5603,7.108,17.01,116.0573,2856,92.12903226,3924,126.5806452,4877,168.1724138,5582,180.0645161,7800,260,9669,315.8,34708
gentle,5,South Gentle,south,6,2,2015,none,no,No Cage,,35,0,0,0,0.00%,no,,,,,,35,,,,,,,,5.38,2.855,25.55,0,0.5956499,,,1.6,53.048,4.569,0.762,33.5603,7.108,17.01,116.0573,2856,92.12903226,3924,126.5806452,4877,168.1724138,5582,180.0645161,7800,260,9669,315.8,34708
gentle,5,South Gentle,south,6,2,2015,big,no,Caged,,31,0,0,0,0.00%,no,,,,,,31,,,,,,,,5.555,1.2,23.95,0.02659348,0.5780991,,,1.3,53.048,4.569,0.762,33.5603,7.108,17.01,116.0573,2856,92.12903226,3924,126.5806452,4877,168.1724138,5582,180.0645161,7800,260,9669,315.8,34708
gentle,5,South Gentle,south,6,2,2015,small,no,Caged,,57,0,0,0,0.00%,yes,,,,,,57,,,,,,,,6.01,3.43,21.3,0.048114535,0.42993585,,,0,53.048,4.569,0.762,33.5603,7.108,17.01,116.0573,2856,92.12903226,3924,126.5806452,4877,168.1724138,5582,180.0645161,7800,260,9669,315.8,34708
gentle,6,South Gentle,south,6,2,2015,none,no,No Cage,,107,0,0,0,0.00%,yes,,,,,,107,,,,,,,,5.955,2.84,57.95,0.051315255,0.4244537,,,,53.048,4.569,0.762,33.5603,7.108,17.01,116.0573,2856,92.12903226,3924,126.5806452,4877,168.1724138,5582,180.0645161,7800,260,9669,315.8,34708
gentle,6,South Gentle,south,6,2,2015,big,no,Caged,,35,0,0,0,0.00%,no,,,,,,35,,,,,,,,6.03,1.93,16.55,0.044332955,0.4225639,,,,53.048,4.569,0.762,33.5603,7.108,17.01,116.0573,2856,92.12903226,3924,126.5806452,4877,168.1724138,5582,180.0645161,7800,260,9669,315.8,34708
gentle,6,South Gentle,south,6,2,2015,small,no,Caged,,33,0,0,0,0.00%,no,,,,,,33,,,,,,,,5.475,1.5555,30.7,0.029418635,0.53300175,,,,53.048,4.569,0.762,33.5603,7.108,17.01,116.0573,2856,92.12903226,3924,126.5806452,4877,168.1724138,5582,180.0645161,7800,260,9669,315.8,34708
steep,6,South Steep,south,6,2,2015,none,no,No Cage,,25,0,0,0,0.00%,no,,,,,,25,,,,,,,,7.05,2.58,16.25,0.03024732,0.13758615,,,5.1,53.048,4.569,0.762,33.5603,7.108,17.01,116.0573,2856,92.12903226,3924,126.5806452,4877,168.1724138,5582,180.0645161,7800,260,9669,315.8,34708
steep,6,South Steep,south,6,2,2015,big,no,Caged,,273,0,0,0,0.00%,yes,,,,,,273,,,,,,,,6.295,3.415,26.9,0.04098806,0.29874805,,,1.4,53.048,4.569,0.762,33.5603,7.108,17.01,116.0573,2856,92.12903226,3924,126.5806452,4877,168.1724138,5582,180.0645161,7800,260,9669,315.8,34708
steep,6,South Steep,south,6,2,2015,small,no,Caged,,29,0,0,0,0.00%,no,,,,,,29,,,,,,,,6.905,3.605,16.8,0.033586855,0.122796,,,3.9,53.048,4.569,0.762,33.5603,7.108,17.01,116.0573,2856,92.12903226,3924,126.5806452,4877,168.1724138,5582,180.0645161,7800,260,9669,315.8,34708
gentle,1,South Gentle,south,6,1,2014,none,no,No Cage,,38,0,0,0,0.00%,no,,,,,,38,,,,,,,,6.2,2.43,29.55,0.05107025,0.41182745,1.09,0.62,1.4,53.048,4.569,0.762,33.5603,7.108,17.01,116.0573,2856,92.12903226,3924,126.5806452,4877,168.1724138,5582,180.0645161,7800,260,9669,315.8,34708
gentle,1,South Gentle,south,6,1,2014,big,no,Caged,,77,0,0,0,0.00%,yes,,,,,,77,,,,,,,,5.97,3.1305,29.4,0.034872385,0.2726921,1.09,0.62,1.2,53.048,4.569,0.762,33.5603,7.108,17.01,116.0573,2856,92.12903226,3924,126.5806452,4877,168.1724138,5582,180.0645161,7800,260,9669,315.8,34708
gentle,1,South Gentle,south,6,1,2014,small,no,Caged,,40,0,0,0,0.00%,no,,,,,,40,,,,,,,,5.665,2.7,48.7,0.02351763,0.59764135,1.09,0.62,0.5,53.048,4.569,0.762,33.5603,7.108,17.01,116.0573,2856,92.12903226,3924,126.5806452,4877,168.1724138,5582,180.0645161,7800,260,9669,315.8,34708
gentle,2,South Gentle,south,6,1,2014,none,no,No Cage,,163,0,0,0,0.00%,yes,,,,,,163,,,,,,,,6.05,3.335,31.9,0.071009595,0.9018188,1.07,0.83,3.5,53.048,4.569,0.762,33.5603,7.108,17.01,116.0573,2856,92.12903226,3924,126.5806452,4877,168.1724138,5582,180.0645161,7800,260,9669,315.8,34708
gentle,2,South Gentle,south,6,1,2014,big,no,Caged,,39,0,0,0,0.00%,no,,,,,,39,,,,,,,,6.05,4.71,35.55,0.084710795,1.0261715,1.07,0.83,0,53.048,4.569,0.762,33.5603,7.108,17.01,116.0573,2856,92.12903226,3924,126.5806452,4877,168.1724138,5582,180.0645161,7800,260,9669,315.8,34708
gentle,2,South Gentle,south,6,1,2014,small,no,Caged,,360,0,0,0,0.00%,yes,,,,,,360,,,,,,,,6.04,5.965,39.7,0.10647238,1.785604,1.07,0.83,0.2,53.048,4.569,0.762,33.5603,7.108,17.01,116.0573,2856,92.12903226,3924,126.5806452,4877,168.1724138,5582,180.0645161,7800,260,9669,315.8,34708
gentle,3,South Gentle,south,6,1,2014,none,no,No Cage,,40,0,0,0,0.00%,no,,,,,,40,,,,,,,,5.49,4.585,40,0.088741215,1.1707635,1.17,0.87,0,53.048,4.569,0.762,33.5603,7.108,17.01,116.0573,2856,92.12903226,3924,126.5806452,4877,168.1724138,5582,180.0645161,7800,260,9669,315.8,34708
gentle,3,South Gentle,south,6,1,2014,big,no,Caged,,36,0,0,0,0.00%,no,,,,,,36,,,,,,,,5.545,3.475,24.55,0.049255829,0.68140035,1.17,0.87,0,53.048,4.569,0.762,33.5603,7.108,17.01,116.0573,2856,92.12903226,3924,126.5806452,4877,168.1724138,5582,180.0645161,7800,260,9669,315.8,34708
gentle,3,South Gentle,south,6,1,2014,small,no,Caged,,1194,0,0,0,0.00%,yes,,,,,,1194,,,,,,,,5.28,2.4095,30.8,0.02624376,0.6555965,1.17,0.87,3.1,53.048,4.569,0.762,33.5603,7.108,17.01,116.0573,2856,92.12903226,3924,126.5806452,4877,168.1724138,5582,180.0645161,7800,260,9669,315.8,34708
swale,2,No.aspect Swale,no.aspect,5,1,2014,big,no,Caged,No Herbivory,33,0,0,0,0.00%,no,,,,,,33,,,156,40,,,0,6.465,1.915,23.7,0.04445328,0.3876331,,,,19.291,95.424,29.698,43.912,15.487,41.884,245.696,3511,113.2580645,3262,105.2258065,3936,140.5714286,5836,188.2580645,7673,255.7666667,8100,261.2903226,32318
swale,1,No.aspect Swale,no.aspect,5,1,2014,small,no,Caged,No Herbivory,35,0,0,0,0.00%,no,,,,,,35,,,144,4,,,0,5.72,4.50555,33.45,0.07135144,2.644816,,,,19.291,95.424,29.698,43.912,15.487,41.884,245.696,3511,113.2580645,3262,105.2258065,3936,140.5714286,5836,188.2580645,7673,255.7666667,8100,261.2903226,32318
gentle,4,South Gentle,south,5,2,2015,small,no,Caged,No Herbivory,29,0,0,0,0.00%,no,0,0,,,,29,,,132,15,,,5,5.465,2.375,33.75,0.0195615,0.5656115,,,,19.291,95.424,29.698,43.912,15.487,41.884,245.696,3511,113.2580645,3262,105.2258065,3936,140.5714286,5836,188.2580645,7673,255.7666667,8100,261.2903226,32318
swale,1,No.aspect Swale,no.aspect,5,1,2014,big,no,Caged,No Herbivory,32,0,0,0,0.00%,no,,,,,,32,,,128,12,,,0,5.015,2.892,46.25,0,0.9144148,,,,19.291,95.424,29.698,43.912,15.487,41.884,245.696,3511,113.2580645,3262,105.2258065,3936,140.5714286,5836,188.2580645,7673,255.7666667,8100,261.2903226,32318
steep,1,South Steep,south,5,1,2014,small,no,Caged,No Herbivory,25,0,0,0,0.00%,no,,,,,,25,,,126,20,,,20,6.345,2.396,11.7,0.026917945,0.26728505,,,,19.291,95.424,29.698,43.912,15.487,41.884,245.696,3511,113.2580645,3262,105.2258065,3936,140.5714286,5836,188.2580645,7673,255.7666667,8100,261.2903226,32318
ridge,1,No.aspect Ridge,no.aspect,5,1,2014,small,no,Caged,Severe,683,7,5,4,1.02%,yes,132,66,28.5714286,86,22,940,,,104,12,,,2,6.2,3.104,30.65,0,0.69382165,,,,19.291,95.424,29.698,43.912,15.487,41.884,245.696,3511,113.2580645,3262,105.2258065,3936,140.5714286,5836,188.2580645,7673,255.7666667,8100,261.2903226,32318
swale,3,No.aspect Swale,no.aspect,5,1,2014,small,no,Caged,Mild,602,38,25,17,6.31%,yes,52,4,34.2105263,132.6153,25.8461538,668,,,103,55,,,0,6.3,3.81,14,0.058379525,0.5739372,,,,19.291,95.424,29.698,43.912,15.487,41.884,245.696,3511,113.2580645,3262,105.2258065,3936,140.5714286,5836,188.2580645,7673,255.7666667,8100,261.2903226,32318
swale,1,No.aspect Swale,no.aspect,5,1,2014,none,no,No Cage,No Herbivory,39,0,0,0,0.00%,no,,,,,,39,,,99,0,,,0,6.29,2.4342,23.75,0.02079592,1.0641207,,,,19.291,95.424,29.698,43.912,15.487,41.884,245.696,3511,113.2580645,3262,105.2258065,3936,140.5714286,5836,188.2580645,7673,255.7666667,8100,261.2903226,32318
steep,1,South Steep,south,5,1,2014,big,no,Caged,No Herbivory,36,0,0,0,0.00%,yes,,,,,,36,,,93,25,,,0,6.61,1.9245,6.35,0.025188235,0.12230563,,,,19.291,95.424,29.698,43.912,15.487,41.884,245.696,3511,113.2580645,3262,105.2258065,3936,140.5714286,5836,188.2580645,7673,255.7666667,8100,261.2903226,32318
gentle,3,South Gentle,south,5,1,2014,none,no,No Cage,No Herbivory,40,0,0,0,0.00%,no,,,,,,40,,,91,12,,,2,5.49,4.585,40,0.088741215,1.1707635,,,,19.291,95.424,29.698,43.912,15.487,41.884,245.696,3511,113.2580645,3262,105.2258065,3936,140.5714286,5836,188.2580645,7673,255.7666667,8100,261.2903226,32318
gentle,1,South Gentle,south,5,1,2014,none,no,No Cage,No Herbivory,38,0,0,0,0.00%,no,,,,,,38,,,88,0,,,0,6.2,2.43,29.55,0.05107025,0.41182745,,,,19.291,95.424,29.698,43.912,15.487,41.884,245.696,3511,113.2580645,3262,105.2258065,3936,140.5714286,5836,188.2580645,7673,255.7666667,8100,261.2903226,32318
swale,5,No.aspect Swale,no.aspect,5,2,2015,small,no,Caged,Mild,1199,75,27,51,6.26%,yes,775,16.14583333,64,133.8125,8.1875,2674,,,86,5,,,0,6.775,2.575,20.75,0.052427105,0.468903,,,,19.291,95.424,29.698,43.912,15.487,41.884,245.696,3511,113.2580645,3262,105.2258065,3936,140.5714286,5836,188.2580645,7673,255.7666667,8100,261.2903226,32318
steep,2,South Steep,south,5,1,2014,small,no,Caged,No Herbivory,35,0,0,0,0.00%,no,,,,,,35,,,86,60,,,0,6.64,1.107,18.25,0.047090505,0.31778755,,,,19.291,95.424,29.698,43.912,15.487,41.884,245.696,3511,113.2580645,3262,105.2258065,3936,140.5714286,5836,188.2580645,7673,255.7666667,8100,261.2903226,32318
steep,2,North Steep,north,5,2,2015,big,no,Caged,Severe,398,2,2,1,0.50%,yes,,,0,,,396,,,85,42,,,5,5.385,7.11,37.85,0,0.7806928,,,,19.291,95.424,29.698,43.912,15.487,41.884,245.696,3511,113.2580645,3262,105.2258065,3936,140.5714286,5836,188.2580645,7673,255.7666667,8100,261.2903226,32318
swale,6,No.aspect Swale,no.aspect,5,2,2015,big,no,Caged,No Herbivory,35,0,0,0,0.00%,no,,,,,,35,,,83,28,,,0,5.375,1.8165,46.95,0,0.6073881,,,,19.291,95.424,29.698,43.912,15.487,41.884,245.696,3511,113.2580645,3262,105.2258065,3936,140.5714286,5836,188.2580645,7673,255.7666667,8100,261.2903226,32318
gentle,1,South Gentle,south,5,1,2014,big,no,Caged,No Herbivory,77,0,0,0,0.00%,yes,,,,,,77,,,83,8,,,5,5.97,3.1305,29.4,0.034872385,0.2726921,,,,19.291,95.424,29.698,43.912,15.487,41.884,245.696,3511,113.2580645,3262,105.2258065,3936,140.5714286,5836,188.2580645,7673,255.7666667,8100,261.2903226,32318
ridge,2,No.aspect Ridge,no.aspect,5,1,2014,small,no,Caged,No Herbivory,41,0,0,0,0.00%,yes,,,,,,41,,,82,40,,,5,6.625,0.575,40.05,0.033405905,0.4886722,,,,19.291,95.424,29.698,43.912,15.487,41.884,245.696,3511,113.2580645,3262,105.2258065,3936,140.5714286,5836,188.2580645,7673,255.7666667,8100,261.2903226,32318
gentle,1,South Gentle,south,5,1,2014,small,no,Caged,No Herbivory,40,0,0,0,0.00%,no,,,,,,40,,,80,60,,,5,5.665,2.7,48.7,0.02351763,0.59764135,,,,19.291,95.424,29.698,43.912,15.487,41.884,245.696,3511,113.2580645,3262,105.2258065,3936,140.5714286,5836,188.2580645,7673,255.7666667,8100,261.2903226,32318
gentle,5,South Gentle,south,5,2,2015,small,no,Caged,No Herbivory,57,0,0,0,0.00%,yes,0,0,,,,57,,,79,5,,,5,6.01,3.43,21.3,0.048114535,0.42993585,,,,19.291,95.424,29.698,43.912,15.487,41.884,245.696,3511,113.2580645,3262,105.2258065,3936,140.5714286,5836,188.2580645,7673,255.7666667,8100,261.2903226,32318
steep,2,North Steep,north,5,2,2015,small,no,Caged,No Herbivory,253,0,0,0,0.00%,yes,,,,,,253,,,79,55,,,10,5.625,8.635,37.95,0,1.266846,,,,19.291,95.424,29.698,43.912,15.487,41.884,245.696,3511,113.2580645,3262,105.2258065,3936,140.5714286,5836,188.2580645,7673,255.7666667,8100,261.2903226,32318
gentle,2,South Gentle,south,5,1,2014,none,no,No Cage,No Herbivory,163,0,0,0,0.00%,yes,,,,,,163,,,76,6,,,1,6.05,3.335,31.9,0.071009595,0.9018188,,,,19.291,95.424,29.698,43.912,15.487,41.884,245.696,3511,113.2580645,3262,105.2258065,3936,140.5714286,5836,188.2580645,7673,255.7666667,8100,261.2903226,32318
ridge,1,No.aspect Ridge,no.aspect,5,1,2014,none,no,No Cage,No Herbivory,123,0,0,0,0.00%,yes,,,,,,123,,,76,13,,,3,5.6,3.26,17,0.077025355,0.778946,,,,19.291,95.424,29.698,43.912,15.487,41.884,245.696,3511,113.2580645,3262,105.2258065,3936,140.5714286,5836,188.2580645,7673,255.7666667,8100,261.2903226,32318
steep,3,North Steep,north,5,2,2015,big,no,Caged,No Herbivory,120,2,0,2,1.67%,yes,42,21,100,87,6,202,,,73,25,,,5,5.57,6.995,38.7,0.06428302,0.8171943,,,,19.291,95.424,29.698,43.912,15.487,41.884,245.696,3511,113.2580645,3262,105.2258065,3936,140.5714286,5836,188.2580645,7673,255.7666667,8100,261.2903226,32318
gentle,6,South Gentle,south,5,2,2015,small,no,Caged,No Herbivory,33,0,0,0,0.00%,no,0,0,,,,33,,,72,0,,,0,5.475,1.5555,30.7,0.029418635,0.53300175,,,,19.291,95.424,29.698,43.912,15.487,41.884,245.696,3511,113.2580645,3262,105.2258065,3936,140.5714286,5836,188.2580645,7673,255.7666667,8100,261.2903226,32318
swale,5,No.aspect Swale,no.aspect,5,2,2015,none,no,No Cage,No Herbivory,39,0,0,0,0.00%,no,,,,,,39,,,71,1,,,0,6.07,2.867,42.75,0.032717105,0.7005486,,,,19.291,95.424,29.698,43.912,15.487,41.884,245.696,3511,113.2580645,3262,105.2258065,3936,140.5714286,5836,188.2580645,7673,255.7666667,8100,261.2903226,32318
swale,4,No.aspect Swale,no.aspect,5,2,2015,big,no,Caged,No Herbivory,84,0,0,0,0.00%,yes,,,,,,84,,,70,68,,,3,6.38,2.07,28.1,0.055314835,0.5421546,,,,19.291,95.424,29.698,43.912,15.487,41.884,245.696,3511,113.2580645,3262,105.2258065,3936,140.5714286,5836,188.2580645,7673,255.7666667,8100,261.2903226,32318
gentle,3,South Gentle,south,5,1,2014,small,no,Caged,Mild,534,10,6,4,1.87%,yes,335,83.75,40,106.5,19.5,1194,,,70,1,,,1,5.28,2.4095,30.8,0.02624376,0.6555965,,,,19.291,95.424,29.698,43.912,15.487,41.884,245.696,3511,113.2580645,3262,105.2258065,3936,140.5714286,5836,188.2580645,7673,255.7666667,8100,261.2903226,32318
steep,5,South Steep,south,5,2,2015,small,no,Caged,No Herbivory,50,0,0,0,0.00%,yes,,,,,,50,,,69,50,,,0,5.505,5.545,56.05,0,0.8642285,,,,19.291,95.424,29.698,43.912,15.487,41.884,245.696,3511,113.2580645,3262,105.2258065,3936,140.5714286,5836,188.2580645,7673,255.7666667,8100,261.2903226,32318
ridge,3,No.aspect Ridge,no.aspect,5,1,2014,big,no,Caged,No Herbivory,37,0,0,0,0.00%,no,,,,,,37,,,68,32,,,0,6.24,3.43,40.15,0,0.7859843,,,,19.291,95.424,29.698,43.912,15.487,41.884,245.696,3511,113.2580645,3262,105.2258065,3936,140.5714286,5836,188.2580645,7673,255.7666667,8100,261.2903226,32318
gentle,6,South Gentle,south,5,2,2015,big,no,Caged,No Herbivory,35,0,0,0,0.00%,no,0,0,,,,35,,,67,7,,,7,6.03,1.93,16.55,0.044332955,0.4225639,,,,19.291,95.424,29.698,43.912,15.487,41.884,245.696,3511,113.2580645,3262,105.2258065,3936,140.5714286,5836,188.2580645,7673,255.7666667,8100,261.2903226,32318
swale,3,No.aspect Swale,no.aspect,5,1,2014,big,no,Caged,Mild,321,3,1,2,0.93%,yes,80,40,66.6666667,109,40,478,,,63,20,,,0,5.855,1.3555,23.5,0.01921891,0.5112983,,,,19.291,95.424,29.698,43.912,15.487,41.884,245.696,3511,113.2580645,3262,105.2258065,3936,140.5714286,5836,188.2580645,7673,255.7666667,8100,261.2903226,32318
swale,4,No.aspect Swale,no.aspect,5,2,2015,small,no,Caged,No Herbivory,162,1,0,1,0.62%,yes,7,7,100,150,0,175,,,61,34,,,5,6.69,2.915,35.1,0.061559985,0.54151915,,,,19.291,95.424,29.698,43.912,15.487,41.884,245.696,3511,113.2580645,3262,105.2258065,3936,140.5714286,5836,188.2580645,7673,255.7666667,8100,261.2903226,32318
steep,1,North Steep,north,5,2,2015,none,no,No Cage,No Herbivory,35,0,0,0,0.00%,yes,,,,,,35,,,61,18,,,0,6.29,2.665,15.95,0.03640489,0.2277488,,,,19.291,95.424,29.698,43.912,15.487,41.884,245.696,3511,113.2580645,3262,105.2258065,3936,140.5714286,5836,188.2580645,7673,255.7666667,8100,261.2903226,32318
steep,1,North Steep,north,5,2,2015,small,no,Caged,Mild,1962,22,10,12,1.12%,yes,208,17.3333,54.5454545,97.41666667,9.5,2356,,,61,18,,,0,5.51,7.945,29.55,0.031090675,0.57696615,,,,19.291,95.424,29.698,43.912,15.487,41.884,245.696,3511,113.2580645,3262,105.2258065,3936,140.5714286,5836,188.2580645,7673,255.7666667,8100,261.2903226,32318
ridge,2,No.aspect Ridge,no.aspect,5,1,2014,none,no,No Cage,No Herbivory,36,0,0,0,0.00%,no,,,,,,36,,,60,42,,,0,6.29,3.87,38.45,0,0.9661617,,,,19.291,95.424,29.698,43.912,15.487,41.884,245.696,3511,113.2580645,3262,105.2258065,3936,140.5714286,5836,188.2580645,7673,255.7666667,8100,261.2903226,32318
steep,1,North Steep,north,5,2,2015,big,no,Caged,Mild,562,6,5,4,1.07%,yes,12,12,16.6666667,60,14,580,,,59,20,,,10,6.145,5.545,21.75,0.044625775,0.7734109,,,,19.291,95.424,29.698,43.912,15.487,41.884,245.696,3511,113.2580645,3262,105.2258065,3936,140.5714286,5836,188.2580645,7673,255.7666667,8100,261.2903226,32318
steep,2,North Steep,north,5,2,2015,none,no,No Cage,No Herbivory,37,0,0,0,0.00%,no,,,,,,37,,,59,8,,,3,5.515,8.39,42.7,0,1.417365,,,,19.291,95.424,29.698,43.912,15.487,41.884,245.696,3511,113.2580645,3262,105.2258065,3936,140.5714286,5836,188.2580645,7673,255.7666667,8100,261.2903226,32318
steep,1,South Steep,south,5,1,2014,none,no,No Cage,No Herbivory,34,0,0,0,0.00%,no,,,,,,34,,,58,3,,,0,6.67,0.9735,17.9,0.029109955,0.29065965,,,,19.291,95.424,29.698,43.912,15.487,41.884,245.696,3511,113.2580645,3262,105.2258065,3936,140.5714286,5836,188.2580645,7673,255.7666667,8100,261.2903226,32318
ridge,1,No.aspect Ridge,no.aspect,5,1,2014,big,no,Caged,No Herbivory,162,0,0,0,0.00%,yes,,,,,,162,,,58,50,,,5,6.005,5.795,47.75,0.0808851,1.63661885,,,,19.291,95.424,29.698,43.912,15.487,41.884,245.696,3511,113.2580645,3262,105.2258065,3936,140.5714286,5836,188.2580645,7673,255.7666667,8100,261.2903226,32318
ridge,2,No.aspect Ridge,no.aspect,5,1,2014,big,no,Caged,No Herbivory,40,0,0,0,0.00%,no,,,,,,40,,,58,48,,,3,5.48,6.8,51.1,0.079254195,1.03387125,,,,19.291,95.424,29.698,43.912,15.487,41.884,245.696,3511,113.2580645,3262,105.2258065,3936,140.5714286,5836,188.2580645,7673,255.7666667,8100,261.2903226,32318
steep,4,South Steep,south,5,2,2015,big,no,Caged,No Herbivory,74,0,0,0,0.00%,yes,,,,,,74,,,57,29,,,0,5.99,2.95,32.8,0.039004985,0.5322551,,,,19.291,95.424,29.698,43.912,15.487,41.884,245.696,3511,113.2580645,3262,105.2258065,3936,140.5714286,5836,188.2580645,7673,255.7666667,8100,261.2903226,32318
swale,3,No.aspect Swale,no.aspect,5,1,2014,none,no,No Cage,No Herbivory,38,0,0,0,0.00%,no,,,,,,38,,,57,2,,,0,7.52,1.7475,38.85,0.02187346,0.6397984,,,,19.291,95.424,29.698,43.912,15.487,41.884,245.696,3511,113.2580645,3262,105.2258065,3936,140.5714286,5836,188.2580645,7673,255.7666667,8100,261.2903226,32318
swale,2,No.aspect Swale,no.aspect,5,1,2014,small,no,Caged,No Herbivory,42,0,0,0,0.00%,yes,,,,,,42,,,51,68,,,5,6.075,1.9,39.9,0.06904331,0.8546079,,,,19.291,95.424,29.698,43.912,15.487,41.884,245.696,3511,113.2580645,3262,105.2258065,3936,140.5714286,5836,188.2580645,7673,255.7666667,8100,261.2903226,32318
steep,5,South Steep,south,5,2,2015,none,no,No Cage,No Herbivory,40,0,0,0,0.00%,no,,,,,,40,,,50,0,,,0,6.395,2.05,18.5,0.05563932,0.3601587,,,,19.291,95.424,29.698,43.912,15.487,41.884,245.696,3511,113.2580645,3262,105.2258065,3936,140.5714286,5836,188.2580645,7673,255.7666667,8100,261.2903226,32318
steep,6,South Steep,south,5,2,2015,none,no,No Cage,No Herbivory,25,0,0,0,0.00%,no,,,,,,25,,,50,26,,,0,7.05,2.58,16.25,0.03024732,0.13758615,,,,19.291,95.424,29.698,43.912,15.487,41.884,245.696,3511,113.2580645,3262,105.2258065,3936,140.5714286,5836,188.2580645,7673,255.7666667,8100,261.2903226,32318
gentle,2,South Gentle,south,5,1,2014,small,no,Caged,Mild,253,1,0,1,0.40%,yes,54,54,100,73,14,360,,,50,1,,,1,6.04,5.965,39.7,0.10647238,1.785604,,,,19.291,95.424,29.698,43.912,15.487,41.884,245.696,3511,113.2580645,3262,105.2258065,3936,140.5714286,5836,188.2580645,7673,255.7666667,8100,261.2903226,32318
steep,5,South Steep,south,5,2,2015,big,no,Caged,Mild,535,12,5,7,2.24%,yes,85,12.1428,58.3333333,92.42857,11.85714,693,,,49,20,,,0,6.45,2.84,34.05,0.05428337,0.62390005,,,,19.291,95.424,29.698,43.912,15.487,41.884,245.696,3511,113.2580645,3262,105.2258065,3936,140.5714286,5836,188.2580645,7673,255.7666667,8100,261.2903226,32318
gentle,3,South Gentle,south,5,1,2014,big,no,Caged,No Herbivory,37,1,0,0,2.70%,no,,,0,,,36,,,47,0,,,0,5.545,3.475,24.55,0.049255829,0.68140035,,,,19.291,95.424,29.698,43.912,15.487,41.884,245.696,3511,113.2580645,3262,105.2258065,3936,140.5714286,5836,188.2580645,7673,255.7666667,8100,261.2903226,32318
steep,3,South Steep,south,5,1,2014,small,no,Caged,No Herbivory,33,0,0,0,0.00%,no,,,,,,33,,,44,32,,,3,6.935,2.37,17.75,0.05470376,0.9791892,,,,19.291,95.424,29.698,43.912,15.487,41.884,245.696,3511,113.2580645,3262,105.2258065,3936,140.5714286,5836,188.2580645,7673,255.7666667,8100,261.2903226,32318
